Model Name,MAE,mIoU,mAP,File Count
MaskRCNN~Block1024,0.016905946167573314,0.18415851237466835,0.9830940538324268,7
MaskRCNN~Block512,0.018417536843846647,0.25266407209195235,0.9815824631561533,7
NestedUNet,0.015991233953561675,0.379673347507596,0.9840087660464383,7
NestedUNet~300epoch,0.01361743537207171,0.4140506603175451,0.9863825646279282,7
UNet,0.015937420248497355,0.38400115053147876,0.9840625797515026,7
UNet~300epoch,0.013579925260944644,0.41384546110433446,0.9864200747390554,7
UNet~ChangeDataset,0.01938137335101952,0.25953309487040693,0.9806186266489804,7
