Model Name,MAE,mIoU,mAP,File Count,dataset
MaskRCNN~Block1024,0.0169059461675733,0.1841585123746683,0.9830940538324268,7,PCL7
MaskRCNN~Block512,0.0184175368438466,0.2526640720919523,0.9815824631561532,7,PCL7
NestedUNet,0.0159912339535616,0.379673347507596,0.9840087660464384,7,PCL7
NestedUNet~300epoch,0.0136174353720717,0.4140506603175451,0.9863825646279282,7,PCL7
UNet,0.0159374202484973,0.3840011505314787,0.9840625797515026,7,PCL7
UNet~300epoch,0.0135799252609446,0.4138454611043344,0.9864200747390554,7,PCL7
UNet~ChangeDataset,0.0193813733510195,0.2595330948704069,0.9806186266489804,7,PCL7
